city,datasize,oldestedit,lastedit,tot_users,tot_users30,tot_users90,tot_users180,tot_users360,tot_nodes,tot_ways,tot_relations,tot_tags
Nùgoro_Nuoro-,2376,2006-07-21,2014-11-01,81,6,13,16,29,97773,7744,215,12798
Agrigento,1860,2007-03-28,2014-11-08,81,10,18,24,31,41719,4023,106,10909
Alessandria,2632,2007-10-10,2014-11-08,123,9,28,31,54,84281,9077,165,20096
Ancona,5340,2007-10-14,2014-11-07,160,6,23,34,49,56018,7944,720,29427
Andria,628,2008-02-23,2014-11-09,78,3,13,19,28,18239,2084,95,7914
Aosta,1176,2008-06-24,2014-11-08,95,7,21,33,47,43314,5800,86,12192
Arezzo,3164,2007-07-10,2014-11-09,183,17,30,50,71,117798,8559,242,26704
Asti,1408,2007-10-10,2014-11-08,123,6,29,39,53,51854,5490,151,15825
Avellino,988,2006-09-12,2014-11-05,74,1,8,16,35,37752,5388,47,10723
Bari,6532,2007-07-27,2014-11-09,284,27,47,74,124,102055,11232,153,35057
Barletta,4576,2007-07-27,2014-11-09,117,9,17,26,40,49289,4133,64,9075
Belluno,5936,2007-10-11,2014-11-07,254,8,38,62,98,166157,20130,87,28592
Benevento,568,2006-08-16,2014-11-09,72,4,12,18,27,22549,2165,254,11866
Bergamo,2132,2007-10-10,2014-11-07,166,11,35,45,76,70922,10227,343,30960
Biella,1536,2007-10-10,2014-11-08,106,14,23,31,51,40966,2754,121,9422
Bologna,13684,2007-07-18,2014-11-09,404,40,84,131,195,574896,69186,2396,933384
Brescia,5324,2007-10-10,2014-11-09,210,22,47,68,92,194415,26500,983,77977
Brindisi,4484,2006-09-13,2014-11-09,183,14,26,40,69,57170,3383,60,10406
Caltanissetta,1672,2008-10-06,2014-11-08,55,2,7,11,25,62514,3816,78,10003
Campobasso,1012,2007-10-12,2014-11-07,31,4,9,16,19,38812,4146,225,12967
Caserta,920,2006-10-11,2014-11-09,94,5,12,17,36,31687,5030,415,10848
Catania,10420,2008-03-14,2014-11-09,177,10,29,42,71,347443,61102,620,166577
Catanzaro,4500,2007-10-12,2014-11-07,92,4,15,26,41,44296,4547,97,10560
Chieti,1252,2007-09-12,2014-11-02,76,5,15,24,37,48627,7586,139,15059
Casteddu_Cagliari,5052,2007-07-09,2014-11-01,193,9,30,44,69,171057,17629,780,46165
Como,7308,2007-06-26,2014-11-09,289,28,58,83,114,131415,12161,285,28189
Cosenza,548,2007-10-12,2014-11-07,58,3,11,14,26,15601,1914,36,5626
Cremona,928,2007-10-10,2014-11-08,134,7,21,30,44,23326,3452,140,9691
Crotone,5984,2008-10-24,2014-11-07,110,8,22,31,50,114313,14603,67,26848
Cuneo,796,2007-12-12,2014-11-08,111,4,23,43,51,27373,3607,104,10270
Enna,1640,2008-10-06,2014-11-08,72,6,9,14,24,43225,2046,40,10797
Fermo,4540,2007-10-14,2014-11-08,128,9,16,33,43,25964,1465,62,6764
Ferrara,11256,2007-08-02,2014-11-09,185,18,36,57,80,402610,45050,619,124746
Firenze,6696,2007-05-19,2014-11-09,442,27,65,102,166,255591,19175,953,531416
Foggia,1152,2007-10-13,2014-11-08,110,9,24,33,44,34148,4431,341,17692
Forlì-,8192,2007-09-30,2014-11-07,143,9,20,36,55,282236,51125,444,109229
Frosinone,1280,2007-04-01,2014-11-09,58,5,7,13,25,65325,10420,39,12709
Genova,17624,2007-08-30,2014-11-08,462,30,79,123,195,526065,60673,1036,186493
Gorizia,6184,2007-06-22,2014-11-07,180,14,35,49,75,133872,13852,156,66037
Grosseto,6216,2006-09-06,2014-11-09,220,15,34,48,76,80328,5132,136,15982
Imperia,7112,2007-03-28,2014-11-08,167,13,36,54,80,171440,17405,187,38967
Isernia,284,2007-10-12,2014-11-06,32,2,6,7,13,10998,727,60,2534
Latina,6264,2007-01-08,2014-11-09,132,8,23,32,57,101265,15485,169,31338
Lecce,12792,2006-09-13,2014-11-09,177,24,37,46,68,395850,47577,1168,69861
Lecco,3212,2007-10-10,2014-11-09,206,16,39,64,94,120718,6890,428,19617
Livorno,7228,2006-08-23,2014-11-09,248,24,47,66,103,193075,22264,528,61505
Lodi,2392,2007-10-10,2014-11-08,107,7,21,27,41,90835,13410,105,200888
Lucca,3516,2007-10-09,2014-11-09,205,23,42,59,87,104365,7900,202,20157
Macerata,2160,2008-03-04,2014-11-07,61,3,11,18,31,70846,8400,179,31394
