city,datasize,oldestedit,lastedit,tot_users,tot_users30,tot_users90,tot_users180,tot_users360,tot_nodes,tot_ways,tot_relations,tot_tags,area
Nùgoro_Nuoro-,2288,2006-07-21,2015-06-11,91,0,0,10,32,94289,7792,216,12831,192061933.0
Agrigento,1828,2007-03-28,2015-09-08,95,11,13,27,40,40175,4133,108,11740,245346224.0
Alessandria,2688,2007-10-10,2015-09-08,131,11,24,41,60,89654,10655,163,32767,203569031.0
Ancona,1708,2007-10-14,2015-09-08,141,12,21,33,50,53179,8051,735,28784,125103858.0
Andria,528,2008-02-23,2015-08-19,80,2,11,17,28,16626,2134,107,7209,404271578.0
Aosta,1064,2008-06-24,2015-06-13,102,0,1,19,39,40506,6062,88,13110,21400299.0
Arezzo,3112,2007-07-10,2015-09-08,198,16,36,44,70,118987,9353,245,28259,384566965.0
Asti,1580,2007-10-10,2015-09-08,140,12,29,39,54,59624,6612,159,17846,151313813.0
Avellino,756,2006-09-12,2015-09-02,74,3,7,9,15,34515,5421,46,10511,30543802.0
Bari,3044,2007-10-13,2015-09-09,265,11,31,61,96,87856,12812,176,38419,118353023.0
Barletta,832,2007-10-13,2015-09-08,79,10,14,17,27,32342,4150,75,8783,147605382.0
Belluno,5384,2007-10-11,2015-09-08,189,9,20,39,66,150355,20129,98,27579,147173479.0
Benevento,464,2006-08-16,2015-09-08,77,5,12,17,27,18555,2285,281,12353,130836973.0
Bergamo,2084,2007-10-10,2015-09-08,191,12,20,53,79,71245,10848,360,32829,40318348.0
Biella,1756,2007-10-10,2015-09-06,128,10,19,30,57,51423,3212,127,55068,46713503.0
Bologna,13452,2007-07-18,2015-09-08,452,23,59,103,170,565157,70301,2463,948667,142027400.0
Brescia,5184,2007-10-10,2015-09-08,194,21,32,55,83,192155,27810,1062,85937,90530003.0
Brindisi,1388,2006-09-13,2015-09-08,133,14,23,32,48,48512,6213,104,12728,338011633.0
Caltanissetta,1764,2008-10-06,2015-09-06,62,5,10,19,23,69000,4674,123,11637,
Campobasso,1424,2007-10-12,2015-08-25,29,3,6,6,12,64577,8820,276,20279,48437580.0
Caserta,920,2006-10-11,2015-09-08,108,6,15,22,35,34383,5374,415,11748,53702161.0
Catania,10440,2008-03-14,2015-09-08,204,13,34,51,75,349259,61953,640,175107,182828495.0
Catanzaro,784,2007-10-12,2015-09-07,86,6,16,22,36,33918,4560,105,10522,111608452.0
Chieti,1224,2007-09-12,2015-08-30,92,4,16,22,34,48207,7790,153,16268,59322015.0
Casteddu_Cagliari,5004,2007-07-09,2015-06-18,215,0,5,32,61,169849,17738,789,47138,83606742.0
Como,2868,2007-06-26,2015-09-08,251,23,57,82,114,92574,12280,294,31366,37282074.0
Cosenza,444,2007-10-12,2015-09-07,69,1,8,13,25,14307,1932,37,5705,37979409.0
Cremona,988,2008-05-05,2015-09-08,143,9,17,30,46,27337,3906,146,10775,70368042.0
Crotone,2304,2008-10-24,2015-09-08,89,8,19,27,41,104330,14820,71,27527,182559574.0
Cuneo,1072,2007-12-12,2015-09-05,117,10,17,28,44,37250,5642,171,13359,120234587.0
Enna,1592,2008-10-06,2015-09-03,75,4,8,17,25,43006,2805,70,12803,
Fermo,852,2007-10-14,2015-09-08,89,9,13,18,29,18782,1546,76,5695,119264360.0
Ferrara,11080,2007-08-02,2015-09-09,199,14,31,49,72,400239,45555,641,128426,404711633.0
Firenze,6656,2007-05-19,2015-09-08,487,29,60,103,163,248382,20196,1046,536308,102306374.0
Foggia,1024,2007-10-13,2015-09-07,107,9,15,21,38,31455,5043,366,19102,
Forlì-,8128,2007-09-30,2015-09-07,151,8,16,31,48,281219,51469,451,110359,227661905.0
Frosinone,1172,2007-04-01,2015-09-07,67,5,12,17,23,62561,10487,41,12808,47023111.0
Genova,16512,2007-08-30,2015-09-08,500,30,59,114,191,587956,72164,1077,215046,249434644.0
Gorizia,2652,2007-06-22,2015-09-08,129,12,24,35,46,114464,13868,167,57771,41362202.0
Grosseto,2408,2006-09-06,2015-09-08,186,11,27,41,61,62775,5449,142,16646,473266085.0
Imperia,3684,2007-03-28,2015-09-08,111,14,20,24,37,151898,18688,186,41140,45754319.0
Isernia,276,2007-10-12,2015-08-27,35,1,4,9,12,11404,897,69,2908,69486134.0
Latina,2436,2008-09-15,2015-09-08,101,7,12,23,33,91504,15807,173,31131,277767917.0
Lecce,9316,2007-10-13,2015-09-08,137,10,15,23,50,376285,48963,1304,75529,
Lecco,3712,2007-10-10,2015-09-08,169,13,26,50,78,151426,9224,521,23891,45300496.0
Livorno,3500,2006-08-23,2015-09-08,205,17,34,48,79,156130,22922,537,63364,103605997.0
Lodi,2416,2007-10-10,2015-09-08,105,7,12,29,44,92717,13816,121,199237,41484931.0
Lucca,3540,2007-12-04,2015-09-09,228,19,41,67,98,107916,11794,228,27620,185710796.0
Macerata,2192,2008-03-04,2015-09-06,65,3,9,19,28,72007,9117,186,33092,92525280.0
Mantova,1468,2006-08-23,2015-09-08,154,12,18,28,45,54239,9776,231,18675,63997432.0
Massa,2460,2007-10-15,2015-09-08,167,13,25,41,67,63365,6264,184,15291,95081603.0
Matera,3072,2007-10-12,2015-09-08,163,6,19,34,61,162105,17757,247,40869,391931071.0
Messina,5160,2008-04-07,2015-09-08,143,17,35,48,63,228065,21791,1099,66329,213325975.0
Milano,17444,2006-08-30,2015-09-08,807,49,119,220,321,542091,95812,3633,432480,181857091.0
Modena,7616,2006-08-23,2015-09-08,238,13,31,57,93,302091,40223,828,101213,182816770.0
Monza,5648,2007-11-15,2015-09-08,140,11,24,37,51,141814,20987,612,114739,33050742.0
Napoli,4596,2006-09-14,2015-09-09,341,19,54,86,134,181739,32275,1076,68942,124604685.0
Novara,1136,2005-08-15,2015-09-07,138,7,23,31,56,40518,6228,190,17848,103051155.0
Padova,11604,2007-12-21,2015-09-08,397,20,53,87,157,441676,68464,508,120139,93229840.0
Palermo,11076,2007-03-28,2015-09-08,342,22,49,73,126,592369,87179,1303,146118,160687411.0
Parma,6624,2007-10-13,2015-09-09,244,11,25,49,83,241572,39259,899,83621,259552831.0
Pavia,4008,2007-10-10,2015-09-08,176,10,22,31,46,142034,21262,342,372664,63371288.0
Perugia,5000,2007-08-10,2015-09-09,241,13,24,42,71,148592,17638,538,40192,447830454.0
Pesaro,1020,2008-02-07,2015-09-08,130,8,19,30,43,36147,5555,157,16361,126925391.0
Pescara,1004,2007-10-12,2015-09-08,119,8,19,30,49,33254,6289,103,21160,33387265.0
Piacenza,3892,2006-08-30,2015-09-06,176,9,21,40,69,154670,25693,465,56458,117908904.0
Pisa,2668,2006-08-28,2015-09-09,289,21,47,70,97,96437,14301,378,42946,184976484.0
Pistoia,5712,2006-07-18,2015-09-09,189,23,34,49,75,203778,18968,230,41992,236229201.0
Pordenone,4060,2007-08-13,2015-08-26,134,4,16,25,50,137498,16421,116,66107,38229813.0
Potenza,2876,2006-12-05,2015-09-08,101,7,22,30,50,141431,23991,178,33488,175180734.0
Prato,3776,2007-09-06,2015-09-09,198,14,25,39,85,107805,16858,734,57698,97629068.0
Ragusa,7884,2008-06-21,2015-09-08,118,10,20,36,63,231468,46709,199,59689,445177130.0
Ravenna,12256,2007-11-29,2015-09-08,262,18,33,53,77,425633,70259,412,150758,650448181.0
Rieti,4832,2007-10-15,2015-09-08,120,6,18,25,41,195290,10145,169,16664,188412123.0
Rimini,6764,2007-12-08,2015-09-08,202,17,34,44,61,251635,30899,431,331283,136089831.0
Roma,32408,2007-01-05,2015-09-09,1339,62,153,264,447,1007405,152828,11782,582182,1266185627.0
Rovigo,4420,2006-12-07,2015-09-08,139,11,25,40,63,148736,22014,202,33649,108485494.0
Salerno,884,2007-10-13,2015-09-08,149,12,29,38,64,37094,4630,68,11953,59946575.0
Sassari,6284,2006-07-21,2015-06-15,173,0,3,23,48,239670,30560,438,39791,546729898.0
Savona,3388,2007-10-12,2015-09-08,119,13,18,28,46,119187,9546,106,29386,64122177.0
Siena,2560,2007-07-01,2015-09-09,218,19,30,48,76,101662,11297,335,30968,118548962.0
Siracusa,3588,2007-03-28,2015-09-08,113,14,22,34,55,160191,25580,261,52640,
Sondrio,760,2009-02-14,2015-09-08,84,8,15,28,43,30138,3408,70,7533,20386760.0
Taranto,1420,2007-10-13,2015-09-09,143,12,24,44,59,35472,4556,66,12666,200039285.0
Teramo,996,2007-10-14,2015-09-08,90,3,12,16,30,34807,3238,92,8678,152779030.0
Terni,2864,2007-10-13,2015-09-07,127,7,18,25,36,106810,6367,328,23710,212429877.0
Torino,6732,2007-10-09,2015-09-08,530,30,68,128,237,199156,34384,1025,152733,129475276.0
Tortolì-,884,2008-10-07,2015-06-18,81,0,3,11,27,44482,4810,71,9532,40069546.0
Trani,268,2008-02-19,2015-09-08,78,8,15,17,24,9201,1176,93,4365,102193868.0
Trapani,1172,2008-05-05,2015-09-08,110,11,16,25,41,34963,3901,130,14942,237589589.0
Trento,5852,2006-06-30,2015-09-01,419,27,57,116,172,213603,30503,720,109514,157420113.0
Treviso,5324,2007-12-30,2015-09-05,199,11,29,39,76,181283,29507,302,42838,55505909.0
Trieste,9728,2007-09-08,2015-09-08,305,23,45,69,107,390124,41178,848,293299,85033492.0
Udine,5744,2007-06-02,2015-09-08,193,16,26,41,64,223984,29389,396,116221,56901814.0
Varese,2384,2007-10-10,2015-09-07,199,14,24,40,71,78862,9068,276,27814,54581947.0
Venezia,18888,2006-08-31,2015-09-08,628,23,77,119,206,682627,79078,1050,149641,420715756.0
Verbania,1088,2007-07-04,2015-09-04,149,13,26,37,54,29751,3867,68,10135,37456274.0
Vercelli,2896,2007-06-03,2015-09-08,113,9,13,26,49,112534,19967,653,59062,79775470.0
Verona,18172,2006-06-30,2015-09-08,428,28,49,94,171,576988,84158,689,238851,197989642.0
Vicenza,7784,2007-09-11,2015-09-07,279,17,36,67,119,289540,51672,346,76683,80697324.0
Viterbo,1344,2007-10-06,2015-09-03,137,8,14,28,40,44284,5942,123,15639,402831780.0
Biddacidru_Villacidro,1316,2010-03-13,2015-06-15,51,0,1,5,11,50811,5773,97,7328,
Bolzano_,3192,2007-11-30,2015-08-31,305,17,31,61,97,99628,12408,322,128368,52289222.0
Reggio_nell_Emilia,6756,2007-10-13,2015-09-09,191,12,26,43,73,262628,38761,969,90285,231474175.0
La_Spezia,3436,2008-01-07,2015-09-08,162,7,22,27,50,148154,18563,154,42821,53071103.0
